Name,AI Type,Commercial Type,Product,Description,Product Category,Package,Quick Filters,Availability,Identifier,Detail Page
Skill Builder,AI Feature,Base,Joule Studio,Extend Joule with skills that fit your unique needs.,Technology Platform,,Featured‚Joule,Generally Available,J195,https://discovery-center.cloud.sap/ai-feature/e93aa292-e7f4-449d-9586-f1a8510d5ab6/
Smart Grouping,AI Feature,Base,SAP Analytics Cloud,ML clustering‚ groups similar data points in scatter and bubble charts.,Technology Platform,,,Generally Available,J892,https://discovery-center.cloud.sap/ai-feature/793c4da0-4886-4ee0-9c53-0bc2c465a624/
Smart Insights,AI Feature,Base,SAP Analytics Cloud,Smart Insights analyzes data deviations‚ providing insights as text and visuals.,Technology Platform,,,Generally Available,J886,https://discovery-center.cloud.sap/ai-feature/9ff17406-6da6-4066-bbb7-2edb8d898dbd/
Smart Personalization of My Home,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Personalize your home page by adding insights cards.,Financial Management,Joule Premium for Financial Management,,Generally Available,J226,https://discovery-center.cloud.sap/ai-feature/5205d1ac-b2a1-413b-8d5c-a01e22311cad/
Smart Personalization of My Home for Applications,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Personalize your home page by adding apps.,Financial Management,Joule Premium for Financial Management,,Generally Available,J934,https://discovery-center.cloud.sap/ai-feature/2b5df257-bdfd-4396-a48b-a8362b2e02f7/
Smart Predict,AI Feature,Base,SAP Analytics Cloud,Create predictive models‚ deliver accurate predictions for analytics & planning.,Technology Platform,,,Generally Available,J893,https://discovery-center.cloud.sap/ai-feature/3e3dbf93-52e2-4a08-b6f3-58b7396bc445/
Smart Summarization,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Jump start your communications or follow-ups by generated text proposals.,Financial Management,,,Generally Available,J90,https://discovery-center.cloud.sap/ai-feature/a66caf9e-90e0-44c3-9f4a-47aa40f6027b/
Supplier Confirmation Mass Creation,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Enable mass creation of several supplier confirmations in Joule.,Spend Management,,Joule,Generally Available,J1114,https://discovery-center.cloud.sap/ai-feature/b8dfd079-2d74-417a-ad38-8a5251110a4d/
Supplier Delivery Date Mass Update,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Perform mass updates of delivery dates for multiple purchase orders with Joule.,Spend Management,,Joule,Generally Available,J757,https://discovery-center.cloud.sap/ai-feature/d7b65dad-4fa1-4430-a860-6c8eba5ff8e1/
Supplier Delivery Date Prediction,AI Feature,Base,SAP S/4HANA,Predict delivery dates for purchase order items based on historical data.,Cloud ERP applications,,,Generally Available,J848,https://discovery-center.cloud.sap/ai-feature/e0dd79ff-4ed9-4d79-9461-2be67e664a3c/
Supplier Delivery Date Prediction,AI Feature,Base,SAP S/4HANA Cloud Private Edition,Predict delivery dates for purchase order items based on historical data.,Cloud ERP applications,,,Generally Available,J811,https://discovery-center.cloud.sap/ai-feature/c264b09d-42ca-4256-8d8e-0da5af6c838a/
Transformation Advisory‚ Initiative Builder,AI Feature,Base,SAP Signavio solutions,Identify strategy-aligned opportunities and accelerate transformation execution.,Business Transformation Management,,,Generally Available,J967,https://discovery-center.cloud.sap/ai-feature/9ced0e83-412a-4e06-beda-6ef81e4bce95/
Translation Support,AI Feature,Base,SAP LeanIX solutions,Help users translate customized technical terms.,Business Transformation Management,,,Generally Available,J48,https://discovery-center.cloud.sap/ai-feature/6719d6d7-fda7-4ea9-b0dd-43b99fbab6b6/
UI Generation from Data,AI Feature,Base,SAP Build Apps,Automatically generate pages based on integrated data entities.,Technology Platform,,,Generally Available,J193,https://discovery-center.cloud.sap/ai-feature/691b7e82-b4ee-41f2-aae3-43b5b81be6f6/
Workspace,AI Feature,Premium,SAP Document AI,Configure‚ manage‚ and analyze SAP Document AI schemas‚ channels and workflows.,Technology Platform,,,Generally Available,J924,https://discovery-center.cloud.sap/ai-feature/41b32187-96c9-4780-aa15-fc3cdfac1006/
2D Hotspot Creation,AI Feature,,SAP Integrated Product Development,Automatically create hotspots on 2D drawings and tag with business data.,Supply Chain Management,,Joule,Beta,J172,https://discovery-center.cloud.sap/ai-feature/c523c267-0a3d-4430-9cba-e75df8caac1b/
Accounting Accruals Agent,AI Agent,,SAP S/4HANA Cloud Public Edition,Automate journal entry preparation for manual accruals.,Cloud ERP applications,,Joule,Beta,J787,https://discovery-center.cloud.sap/ai-feature/2ba6ab3e-ff22-4cb6-b3b4-20613ae8f6e3/
Accounts Receivable Agent,AI Agent,,Joule‚ SAP S/4HANA Cloud Private Edition,Reduce uncollectable write-offs with an agent.,Financial Management,,Joule,Beta,J467,https://discovery-center.cloud.sap/ai-feature/ecd030e9-59b3-43b4-85cf-260d498912dd/
Cash Positioning Agent,AI Agent,,SAP S/4HANA Cloud Public Edition‚ Joule,Find out deficit and surplus bank accounts and propose the bank transfer.,Financial Management,,Joule,Beta,J585,https://discovery-center.cloud.sap/ai-feature/cd99c7b2-f716-46ab-8fe5-640f9aa02613/
Cash Positioning Agent,AI Agent,,Joule‚ SAP S/4HANA Cloud Private Edition,Automate reconciliations and propose cash optimizations.,Financial Management,,Joule,Beta,J425,https://discovery-center.cloud.sap/ai-feature/61f9300e-11e0-4ca2-acee-ace35c44fae0/
Catalog Optimization Agent,AI Agent,,SAP CX AI Toolkit,Optimize product data to boost merchandising accuracy and agility.,Customer Relationship Management,,Featured,Beta,J741,https://discovery-center.cloud.sap/ai-feature/28593981-f647-4d1b-bb1f-709783df1fa6/
Change Record Management Agent,AI Agent,,Joule‚ SAP S/4HANA Cloud Private Edition,Reduce engineering change costs and accelerate time-to-market.,Product Lifecycle Management,,Joule,Beta,J788,https://discovery-center.cloud.sap/ai-feature/905534ac-4ede-4c01-a815-476a1643ac7c/
Compliance Information Processing,AI Feature,,SAP S/4HANA Cloud Public Edition,Extract compliance disclosures data and map to SAP S/4HANA Cloud regulations.,Financial Management,,,Beta,J345,https://discovery-center.cloud.sap/ai-feature/57f00cc9-d292-4fd6-baec-cb4a6336c70c/
Content Search,AI Feature,,SAP Signavio solutions,Semantic search engine that interprets user terminology for tailored results.,Business Transformation Management,,,Beta,J779,https://discovery-center.cloud.sap/ai-feature/31657cef-3bb1-4d61-b7b6-0d7b36a328be/
Dashboard Analyzer Agent,AI Agent,,SAP Signavio Process Intelligence‚ Joule,Explain insights and drives process improvements in SAP Signavio.,Business Transformation Management,,Joule,Beta,J1132,https://discovery-center.cloud.sap/ai-feature/251eb6f4-4565-4ac7-8e6c-f5eb6df7d210/
Declaration Image Analysis,AI Feature,,SAP Green Token,Automatically extract information from declarations of different formats.,Supply Chain Management,,,Beta,J173,https://discovery-center.cloud.sap/ai-feature/ef9efdef-7300-4580-9c54-5664e1c99f95/
Deep Research Capability,AI Feature,,Joule,Get tailored business insights combining internal SAP and external web data.,Technology Platform,,Joule,Beta,J1173,https://discovery-center.cloud.sap/ai-feature/0cbab727-02fe-47d3-9bf1-ff96d6c2ae62/
Dispute Resolution Agent,AI Agent,,Joule‚ SAP S/4HANA Cloud Private Edition,Automates the process of resolving disputes about incorrect invoices.,Financial Management,,Featured‚Joule,Beta,J855,https://discovery-center.cloud.sap/ai-feature/bbf06e89-a47a-4a80-a619-97fa7ba6af92/
Dispute Resolution Agent,AI Agent,,SAP S/4HANA Cloud Public Edition‚ Joule,Automates the process of resolving disputes about incorrect invoices.,Cloud ERP applications,,Joule,Beta,J1043,https://discovery-center.cloud.sap/ai-feature/d3a94887-d357-4620-98d5-784a035f9e41/
Easy Fill,AI Feature,,SAP S/4HANA Cloud Public Edition,Enables users to populate fields of a business object using natural language.,Financial Management,,,Beta,J281,https://discovery-center.cloud.sap/ai-feature/b054b110-d555-49ef-b233-e16be1a13eed/
Error Resolution,AI Feature,,SAP Advanced Financial Closing,Resolve errors identified during financial close processes.,Financial Management,,,Beta,J87,https://discovery-center.cloud.sap/ai-feature/942e1e4b-32e0-480f-9f11-d31badf54186/
Field Service Dispatcher Agent,AI Agent,,SAP Field Service Management‚ Joule,Autonomously schedule and optimize service orders.,Supply Chain Management,,Joule,Beta,J468,https://discovery-center.cloud.sap/ai-feature/9c354ba9-b021-470a-b75d-b6e7bf4405de/
International Trade Classification Agent,AI Agent,,SAP S/4HANA Cloud Public Edition,Save time and ensure compliance by automatically classify goods for shipping.,Financial Management,,,Beta,J648,https://discovery-center.cloud.sap/ai-feature/cb3aa823-c475-4f81-9730-d35d85bd55c7/
Joule with SAP Business Accelerator Hub,AI Feature,,SAP Business Accelerator Hub,Find relevant prebuilt content using Joule with natural language search.,Technology Platform,,Joule,Beta,J291,https://discovery-center.cloud.sap/ai-feature/5b1c80e7-ae6a-45eb-89cf-cf7114bb00d4/
Joule with SAP Order Management Services,AI Feature,,SAP Order Management Services,Streamline key operational tasks using natural language.,Customer Relationship Management,,Joule,Beta,J1088,https://discovery-center.cloud.sap/ai-feature/b9498c45-6944-48e3-bb0e-902c71bef176/
Maintenance Event Planning Agent,AI Agent,,Joule‚ SAP S/4HANA Cloud Private Edition,Avoid disruptions with real-time insights‚ smart updates‚ and planning support.,Cloud ERP applications,,Joule,Beta,J424,https://discovery-center.cloud.sap/ai-feature/8b3daa3f-7a07-4a62-8d23-20e13d00aea4/
Order Reliability Agent,AI Agent,,Joule,Detect and resolve order exceptions for customer service teams.,Customer Relationship Management,,,Beta,J955,https://discovery-center.cloud.sap/ai-feature/51d0ed9c-7588-45e5-891d-44ef3ac456f5/
Payment Exception Analysis,AI Feature,,SAP S/4HANA Cloud Public Edition,Analyze payment exceptions and discover recommended resolutions.,Financial Management,,,Beta,J375,https://discovery-center.cloud.sap/ai-feature/016c719c-5363-47ff-945f-cdddd5241871/
Permit Management,AI Feature,,SAP S/4HANA Cloud Public Edition,Automatically extract and setup permit data from document.,Cloud ERP applications,,Featured,Beta,J344,https://discovery-center.cloud.sap/ai-feature/89944fea-d96d-453c-9684-fe2b2c9cbb51/
Process Analyzer‚ Automated Mapping,AI Feature,,SAP Signavio Process Intelligence,Map various inputs based on their context.,Technology Platform,,,Beta,J1122,https://discovery-center.cloud.sap/ai-feature/6c6eb8d1-764c-4727-b8d5-4911607f89b8/
Process Content Recommender Agent,AI Agent,,Joule,Intelligently recommends relevant process content in SAP Signavio.,Business Transformation Management,,Joule,Beta,J940,https://discovery-center.cloud.sap/ai-feature/aa94ac46-bbb3-405e-a7f9-1e14e9bc16db/
Production Planning and Operations Agent,AI Agent,,SAP S/4HANA Cloud Public Edition‚ Joule,Accelerate order-to-delivery by releasing orders in half the time.,Cloud ERP applications,,Joule,Beta,J383,https://discovery-center.cloud.sap/ai-feature/2bac78a3-811f-456f-b950-a4fb3e7d2ac5/
Project Billing Price Verification Agent,AI Agent,,SAP S/4HANA Cloud Public Edition,Help billing specialists identify and resolve price discrepancies efficiently.,Cloud ERP applications,,,Beta,J1325,https://discovery-center.cloud.sap/ai-feature/540eb523-953a-43eb-8f93-525ee99d57fd/
Project Setup Agent,AI Agent,,SAP S/4HANA Cloud Public Edition‚ Joule,Help project managers quickly set up projects using past project data.,Cloud ERP applications,,Joule,Beta,J872,https://discovery-center.cloud.sap/ai-feature/49c08b5c-583b-4108-ba23-401c3da051cf/
Role-based Process Overview,AI Feature,,SAP Signavio Process Collaboration Hub,Get a personalized view of key processes‚ tools‚ and content for your role.,Business Transformation Management,,,Beta,J331,https://discovery-center.cloud.sap/ai-feature/e4b92ea3-f81d-4f95-9afd-368b563700ad/
Safety Instruction Generation,AI Feature,,SAP S/4HANA Cloud Public Edition,Generate safety instructions grounded on risk assessments.,Cloud ERP applications,,,Beta,J756,https://discovery-center.cloud.sap/ai-feature/76d64fc7-204e-4a1f-979c-2a75a7a4ce29/
Safety Observation Reporting,AI Feature,,SAP S/4HANA Cloud Public Edition,Enable users to report safety observations with natural language.,Cloud ERP applications,,Joule,Beta,J596,https://discovery-center.cloud.sap/ai-feature/c3691d08-1455-4c6a-8cea-e524489e5b69/
Screen Guide Agent,AI Agent,,SAP Signavio Process Collaboration Hub‚ Joule,Accelerate understanding and adoption of SAP Signavio,Business Transformation Management,,Joule,Beta,J1130,https://discovery-center.cloud.sap/ai-feature/1be89884-5087-4293-9b9e-da35987fe9bc/
Smart Solution for Situations in My Home,AI Feature,,SAP S/4HANA Cloud Public Edition,Provide resolution suggestions directly on the homepage.,Financial Management,,,Beta,J181,https://discovery-center.cloud.sap/ai-feature/5a6f7a49-1bbf-4e9b-b2e0-57aad5f2de6d/
Sourcing Agent,AI Agent,,SAP Ariba Sourcing‚ Joule,Run smarter sourcing events faster and with less effort.,Spend Management,,Featured‚Joule,Beta,J415,https://discovery-center.cloud.sap/ai-feature/944d71fe-90ad-4ef9-894c-878a4a326893/
Task Automation,AI Feature,,SAP S/4HANA Cloud Public Edition,Enables users to create and run automated processes from natural language input.,Cloud ERP applications,,,Beta,J1164,https://discovery-center.cloud.sap/ai-feature/0d089203-038a-4f68-a7e0-79078e26eae4/
Value Case Creation Agent,AI Agent,,SAP Signavio Process Intelligence‚ Joule,Turn process insights into actionable value cases in SAP Signavio.,Business Transformation Management,,Joule,Beta,J1131,https://discovery-center.cloud.sap/ai-feature/e5f8f643-4dc9-46d4-96e6-15d73187869a/
Workspace Administration Agent,AI Agent,,SAP Signavio Process Collaboration Hub‚ Joule,Onboard new process experts quickly in SAP Signavio.,Business Transformation Management,,Joule,Beta,J1129,https://discovery-center.cloud.sap/ai-feature/d8e34c50-6983-4129-aa44-3356bf2fb4bf/
